Date,close
2015-10-06,86.105
2015-10-07,83.93
2015-10-08,85.085
2015-10-09,85.535
2015-10-13,83.55
2015-10-14,83.75
2015-10-15,84.14
2015-10-16,82.2
2015-10-19,80.325
2015-10-20,78.25
2015-10-21,78.973
2015-10-22,79.82
2015-10-23,80.81
2015-10-26,81.575
2015-10-27,81.835
2015-10-28,82.215
2015-10-29,82.013
2015-10-30,81.815
2015-11-02,83.688
2015-11-03,84.873
2015-11-04,84.625
2015-11-05,83.258
2015-11-06,81.75
2015-11-09,80.785
2015-11-10,81.368
2015-11-12,81.565
2015-11-13,80.753
2015-11-16,81.94
2015-11-17,82.645
2015-11-18,83.085
2015-11-19,84.94
2015-11-20,84.35
2015-11-23,83.535
2015-11-24,83.475
2015-11-25,81.863
2015-11-27,81.908
2015-11-30,80.078
2015-12-01,80.14
2015-12-02,79.303
2015-12-03,78.133
2015-12-04,78.975
2015-12-07,78.37
2015-12-08,77.84
2015-12-09,76.878
2015-12-10,75.25
2015-12-11,73.585
2015-12-14,74.495
2015-12-15,75.5
2015-12-16,72.873
2015-12-17,73.618
2015-12-18,72.24
2015-12-21,70.355
2015-12-22,71.73
2015-12-23,72.72
2015-12-24,72.72
2015-12-28,72.835
2015-12-29,73.09
2015-12-30,72.81
2015-12-31,72.695
2016-01-04,72.625
2016-01-05,75.255
2016-01-06,75.17
2016-01-07,74.038
2016-01-08,73.838
2016-01-11,74.415
2016-01-12,74.855
2016-01-13,74.125
2016-01-14,74.735
2016-01-15,73.71
2016-01-19,73.53
2016-01-20,72.965
2016-01-21,73.49
2016-01-22,74.748
2016-01-25,74.06
2016-01-26,75.078
2016-01-27,75.608
2016-01-28,76.328
2016-01-29,75.83
2016-02-01,75.003
2016-02-02,74.37
2016-02-03,74.758
2016-02-04,75.25
2016-02-05,75.138
2016-02-08,74.04
2016-02-09,74.02
2016-02-10,73.285
2016-02-11,72.68
2016-02-12,72.723
2016-02-16,72.625
2016-02-17,74.05
2016-02-18,73.628
2016-02-19,74.508
2016-02-22,75.303
2016-02-23,75.82
2016-02-24,77.343
2016-02-25,76.803
2016-02-26,76.99
2016-02-29,77.515
2016-03-01,78.0
2016-03-02,78.04
2016-03-03,80.498
2016-03-04,81.19
2016-03-07,80.433
2016-03-08,80.453
2016-03-09,81.99
2016-03-10,82.835
2016-03-11,83.253
2016-03-14,82.583
2016-03-15,80.278
2016-03-16,80.723
2016-03-17,82.74
2016-03-18,85.643
2016-03-21,86.86
2016-03-22,87.123
2016-03-23,85.258
2016-03-24,83.808
2016-03-28,84.683
2016-03-29,86.045
2016-03-30,86.66
2016-03-31,86.645
2016-04-01,87.2
2016-04-04,86.68
2016-04-05,84.785
2016-04-06,84.625
2016-04-07,83.45
2016-04-08,84.49
2016-04-11,86.605
2016-04-12,87.89
2016-04-13,89.405
2016-04-14,89.728
2016-04-15,89.265
2016-04-18,88.128
2016-04-19,88.503
2016-04-20,88.218
2016-04-21,86.125
2016-04-22,85.538
2016-04-25,85.65
2016-04-26,86.0
2016-04-27,88.215
2016-04-28,88.253
2016-04-29,88.393
2016-05-02,88.248
2016-05-03,87.905
2016-05-04,87.478
2016-05-05,87.688
2016-05-06,87.86
2016-05-09,87.773
2016-05-10,88.923
2016-05-11,90.428
2016-05-12,90.328
2016-05-13,90.343
2016-05-16,90.663
2016-05-17,90.893
2016-05-18,89.13
2016-05-19,87.545
2016-05-20,87.725
2016-05-23,87.08
2016-05-24,87.16
2016-05-25,87.498
2016-05-26,87.49
2016-05-27,87.815
2016-05-31,86.395
2016-06-01,86.785
2016-06-02,87.968
2016-06-03,89.205
2016-06-06,90.05
2016-06-07,90.43
2016-06-08,91.895
2016-06-09,91.628
2016-06-10,91.333
2016-06-13,90.623
2016-06-14,89.378
2016-06-15,90.163
2016-06-16,90.063
2016-06-17,90.473
2016-06-20,91.053
2016-06-21,90.613
2016-06-22,91.308
2016-06-23,91.905
2016-06-24,91.363
2016-06-27,91.725
2016-06-28,94.06
2016-06-29,96.115
2016-06-30,96.84
2016-07-01,98.39
2016-07-05,98.565
2016-07-06,98.09
2016-07-07,97.555
2016-07-08,99.498
2016-07-11,99.755
2016-07-12,99.79
2016-07-13,99.795
2016-07-14,99.148
2016-07-15,98.418
2016-07-18,98.128
2016-07-19,98.37
2016-07-20,98.04
2016-07-21,97.048
2016-07-22,96.93
2016-07-25,96.21
2016-07-26,96.2
2016-07-27,96.498
2016-07-28,97.838
2016-07-29,98.798
2016-08-01,98.655
2016-08-02,98.258
2016-08-03,99.09
2016-08-04,99.96
2016-08-05,99.84
2016-08-08,100.063
2016-08-09,100.458
2016-08-10,101.903
2016-08-11,102.213
2016-08-12,103.183
2016-08-15,103.728
2016-08-16,104.348
2016-08-17,104.043
2016-08-18,104.188
2016-08-19,103.623
2016-08-22,103.148
2016-08-23,103.003
2016-08-24,102.693
2016-08-25,101.753
2016-08-26,102.133
2016-08-29,102.57
2016-08-30,102.03
2016-08-31,101.583
2016-09-01,100.485
