Date,close
2015-10-06,72.576
2015-10-07,72.285
2015-10-08,71.961
2015-10-09,74.238
2015-10-13,72.575
2015-10-14,71.179
2015-10-15,70.565
2015-10-16,70.855
2015-10-19,70.918
2015-10-20,69.817
2015-10-21,69.16
2015-10-22,69.027
2015-10-23,70.699
2015-10-26,71.467
2015-10-27,70.577
2015-10-28,72.153
2015-10-29,71.795
2015-10-30,71.994
2015-11-02,73.037
2015-11-03,74.005
2015-11-04,72.883
2015-11-05,72.984
2015-11-06,73.29
2015-11-09,71.357
2015-11-10,70.227
2015-11-12,70.184
2015-11-13,67.392
2015-11-16,70.079
2015-11-17,71.444
2015-11-18,71.625
2015-11-19,75.374
2015-11-20,73.167
2015-11-23,72.186
2015-11-24,71.517
2015-11-25,69.94
2015-11-27,70.042
2015-11-30,69.453
2015-12-01,71.24
2015-12-02,68.911
2015-12-03,68.742
2015-12-04,68.233
2015-12-07,67.891
2015-12-08,67.71
2015-12-09,68.144
2015-12-10,65.72
2015-12-11,64.035
2015-12-14,66.002
2015-12-15,66.379
2015-12-16,63.816
2015-12-17,65.812
2015-12-18,63.928
2015-12-21,61.673
2015-12-22,62.844
2015-12-23,64.58
2015-12-24,64.786
2015-12-28,64.336
2015-12-29,63.575
2015-12-30,64.133
2015-12-31,63.198
2016-01-04,63.048
2016-01-05,67.378
2016-01-06,65.857
2016-01-07,64.579
2016-01-08,64.973
2016-01-11,64.481
2016-01-12,63.662
2016-01-13,62.586
2016-01-14,63.333
2016-01-15,61.781
2016-01-19,61.187
2016-01-20,59.831
2016-01-21,61.038
2016-01-22,62.284
2016-01-25,61.766
2016-01-26,62.101
2016-01-27,63.067
2016-01-28,63.75
2016-01-29,64.381
2016-02-01,63.49
2016-02-02,62.833
2016-02-03,63.077
2016-02-04,64.058
2016-02-05,63.9
2016-02-08,63.602
2016-02-09,61.69
2016-02-10,62.606
2016-02-11,59.391
2016-02-12,60.64
2016-02-16,60.931
2016-02-17,63.145
2016-02-18,63.389
2016-02-19,63.267
2016-02-22,64.676
2016-02-23,64.335
2016-02-24,63.849
2016-02-25,62.691
2016-02-26,62.045
2016-02-29,63.042
2016-03-01,63.757
2016-03-02,64.989
2016-03-03,66.347
2016-03-04,69.145
2016-03-07,67.784
2016-03-08,67.461
2016-03-09,68.097
2016-03-10,68.466
2016-03-11,71.186
2016-03-14,70.262
2016-03-15,68.182
2016-03-16,68.557
2016-03-17,70.727
2016-03-18,71.541
2016-03-21,71.434
2016-03-22,71.838
2016-03-23,71.265
2016-03-24,69.665
2016-03-28,71.055
2016-03-29,71.992
2016-03-30,72.277
2016-03-31,71.938
2016-04-01,71.808
2016-04-04,71.32
2016-04-05,69.278
2016-04-06,70.569
2016-04-07,70.416
2016-04-08,70.639
2016-04-11,71.696
2016-04-12,74.38
2016-04-13,74.466
2016-04-14,77.286
2016-04-15,76.286
2016-04-18,75.361
2016-04-19,77.184
2016-04-20,76.945
2016-04-21,77.501
2016-04-22,77.361
2016-04-25,76.551
2016-04-26,76.642
2016-04-27,78.277
2016-04-28,79.417
2016-04-29,78.92
2016-05-02,78.654
2016-05-03,77.946
2016-05-04,77.996
2016-05-05,78.764
2016-05-06,78.203
2016-05-09,77.249
2016-05-10,77.99
2016-05-11,77.611
2016-05-12,77.614
2016-05-13,77.429
2016-05-16,77.417
2016-05-17,78.349
2016-05-18,76.06
2016-05-19,74.033
2016-05-20,74.805
2016-05-23,74.082
2016-05-24,74.705
2016-05-25,74.814
2016-05-26,74.383
2016-05-27,73.788
2016-05-31,73.17
2016-06-01,71.64
2016-06-02,73.446
2016-06-03,74.09
2016-06-06,74.52
2016-06-07,75.231
2016-06-08,76.406
2016-06-09,75.165
2016-06-10,74.609
2016-06-13,73.988
2016-06-14,73.276
2016-06-15,74.448
2016-06-16,74.149
2016-06-17,75.47
2016-06-20,76.841
2016-06-21,76.223
2016-06-22,77.278
2016-06-23,78.489
2016-06-24,78.111
2016-06-27,76.323
2016-06-28,77.659
2016-06-29,79.356
2016-06-30,80.55
2016-07-01,83.184
2016-07-05,82.593
2016-07-06,82.794
2016-07-07,82.771
2016-07-08,83.276
2016-07-11,84.188
2016-07-12,84.532
2016-07-13,85.097
2016-07-14,85.893
2016-07-15,84.993
2016-07-18,84.131
2016-07-19,83.765
2016-07-20,83.039
2016-07-21,82.864
2016-07-22,84.348
2016-07-25,83.835
2016-07-26,82.903
2016-07-27,83.173
2016-07-28,82.717
2016-07-29,83.263
2016-08-01,82.677
2016-08-02,82.206
2016-08-03,83.259
2016-08-04,85.228
2016-08-05,86.298
2016-08-08,88.174
2016-08-09,89.591
2016-08-10,89.77
2016-08-11,88.872
2016-08-12,89.945
2016-08-15,90.187
2016-08-16,90.403
2016-08-17,90.066
2016-08-18,90.107
2016-08-19,90.257
2016-08-22,90.296
2016-08-23,89.549
2016-08-24,89.079
2016-08-25,87.951
2016-08-26,88.453
2016-08-29,88.924
2016-08-30,89.236
2016-08-31,89.095
2016-09-01,88.61
2016-09-02,89.014
2016-09-06,89.812
2016-09-07,90.856
2016-09-08,90.307
2016-09-09,87.634
2016-09-12,88.17
2016-09-13,86.354
2016-09-14,86.325
2016-09-15,86.306
2016-09-16,85.946
2016-09-19,87.269
2016-09-20,87.387
2016-09-21,89.79
2016-09-22,90.306
2016-09-23,88.532
2016-09-26,87.981
2016-09-27,89.068
2016-09-28,88.616
2016-09-29,88.566
2016-09-30,87.82
2016-10-03,87.842
2016-10-04,86.418
2016-10-05,86.053
2016-10-06,87.064
2016-10-07,86.196
2016-10-11,86.381
2016-10-12,86.514
2016-10-13,87.377
2016-10-14,88.228
2016-10-17,88.206
2016-10-18,89.213
2016-10-19,90.303
2016-10-20,90.565
2016-10-21,91.071
2016-10-24,92.197
2016-10-25,91.971
2016-10-26,90.787
2016-10-27,90.177
2016-10-28,89.654
2016-10-31,90.165
2016-11-01,88.941
2016-11-02,87.554
2016-11-03,87.98
2016-11-04,87.925
2016-11-07,90.09
2016-11-08,89.897
2016-11-09,87.88
2016-11-10,84.312
2016-11-14,80.424
2016-11-15,83.361
2016-11-16,83.242
2016-11-17,83.911
2016-11-18,83.198
2016-11-21,84.081
2016-11-22,83.589
2016-11-23,83.866
2016-11-25,83.454
2016-11-28,83.671
2016-11-29,83.398
2016-11-30,83.293
2016-12-01,82.292
2016-12-02,82.364
2016-12-05,82.975
2016-12-06,84.864
2016-12-07,86.125
2016-12-08,84.984
2016-12-09,85.113
2016-12-12,85.498
2016-12-13,85.862
2016-12-14,84.407
2016-12-15,84.249
2016-12-16,84.126
2016-12-19,84.426
2016-12-20,84.821
2016-12-21,85.538
2016-12-22,85.889
2016-12-23,86.036
2016-12-27,85.818
2016-12-28,85.824
2016-12-29,86.091
2016-12-30,86.299
2017-01-03,86.33
2017-01-04,87.808
2017-01-05,90.086
2017-01-06,89.987
2017-01-09,90.872
2017-01-10,89.81
2017-01-11,89.907
2017-01-12,89.524
2017-01-13,89.807
2017-01-17,91.136
2017-01-18,89.772
2017-01-19,89.249
2017-01-20,89.305
2017-01-23,89.713
2017-01-24,89.992
2017-01-25,89.93
2017-01-26,89.021
2017-01-27,89.864
2017-01-30,90.074
2017-01-31,90.181
2017-02-01,91.573
2017-02-02,92.182
2017-02-03,92.842
2017-02-06,92.873
2017-02-07,91.9
2017-02-08,91.759
2017-02-09,91.578
2017-02-10,92.843
2017-02-13,93.069
2017-02-14,93.533
2017-02-15,92.454
2017-02-16,92.281
2017-02-17,91.751
2017-02-21,92.556
2017-02-22,93.098
2017-02-23,94.109
2017-02-24,93.783
2017-02-27,93.346
2017-02-28,92.687
2017-03-01,92.779
2017-03-02,92.741
2017-03-03,92.898
2017-03-06,92.608
2017-03-07,92.351
2017-03-08,89.826
2017-03-09,89.006
2017-03-10,91.024
2017-03-13,90.712
2017-03-14,89.735
2017-03-15,92.32
2017-03-16,92.239
2017-03-17,92.257
2017-03-20,92.305
2017-03-21,92.138
2017-03-22,92.557
2017-03-23,92.47
2017-03-24,92.299
2017-03-27,92.856
2017-03-28,94.015
2017-03-29,94.796
2017-03-30,95.444
2017-03-31,95.04
2017-04-03,95.197
2017-04-04,95.237
2017-04-05,95.423
2017-04-06,95.639
2017-04-07,95.678
2017-04-10,95.764
2017-04-11,96.406
2017-04-12,96.124
2017-04-13,95.937
2017-04-17,95.79
2017-04-18,95.675
2017-04-19,95.855
2017-04-20,95.878
2017-04-21,96.643
2017-04-24,97.186
2017-04-25,96.147
2017-04-26,95.775
2017-04-27,95.67
2017-04-28,96.261
2017-05-01,95.867
2017-05-02,96.68
2017-05-03,96.621
2017-05-04,96.04
2017-05-05,96.18
2017-05-08,96.017
2017-05-09,96.036
2017-05-10,96.368
2017-05-11,97.312
2017-05-12,99.082
2017-05-15,99.012
2017-05-16,99.317
2017-05-17,98.501
2017-05-18,94.701
2017-05-19,94.619
2017-05-22,94.295
2017-05-23,95.062
2017-05-24,96.383
2017-05-25,95.272
2017-05-26,95.557
2017-05-30,95.676
2017-05-31,95.76
2017-06-01,96.421
2017-06-02,97.006
2017-06-05,96.271
2017-06-06,96.733
2017-06-07,96.524
2017-06-08,95.831
2017-06-09,95.957
2017-06-12,95.105
2017-06-13,94.607
2017-06-14,95.562
2017-06-15,95.088
2017-06-16,95.354
2017-06-19,95.074
2017-06-20,94.054
2017-06-21,93.084
2017-06-22,93.878
2017-06-23,94.149
2017-06-26,95.069
2017-06-27,94.322
2017-06-28,94.467
2017-06-29,94.649
2017-06-30,94.861
2017-07-03,94.891
2017-07-05,94.883
2017-07-06,94.205
2017-07-07,93.994
2017-07-10,95.247
2017-07-11,95.068
2017-07-12,96.255
2017-07-13,96.226
2017-07-14,96.872
2017-07-17,97.403
2017-07-18,97.587
2017-07-19,97.518
2017-07-20,97.98
2017-07-21,97.985
2017-07-24,97.44
2017-07-25,96.503
2017-07-26,97.583
2017-07-27,97.741
2017-07-28,97.435
2017-07-31,97.471
2017-08-01,97.929
2017-08-02,97.669
2017-08-03,98.65
2017-08-04,98.4
2017-08-07,98.684
2017-08-08,98.738
2017-08-09,98.342
2017-08-10,98.087
2017-08-11,98.103
2017-08-14,98.775
2017-08-15,98.504
2017-08-16,99.182
2017-08-17,98.926
2017-08-18,98.509
2017-08-21,98.86
2017-08-22,98.446
2017-08-23,99.112
2017-08-24,98.787
2017-08-25,99.496
2017-08-28,99.716
2017-08-29,99.651
2017-08-30,99.586
2017-08-31,100.226
2017-09-01,100.271
2017-09-05,102.107
2017-09-06,101.867
2017-09-07,102.639
2017-09-08,102.481
2017-09-11,101.914
2017-09-12,101.235
2017-09-13,101.483
2017-09-14,101.607
2017-09-15,101.398
2017-09-18,101.027
2017-09-19,99.783
2017-09-20,100.341
2017-09-21,100.176
2017-09-22,101.057
2017-09-25,101.127
2017-09-26,100.84
2017-09-27,99.529
2017-09-28,100.678
2017-09-29,101.798
2017-10-02,101.658
2017-10-03,102.3
2017-10-04,102.31
2017-10-05,101.922
2017-10-06,101.53
2017-10-10,101.339
2017-10-11,101.098
2017-10-12,101.511
2017-10-13,102.348
2017-10-16,102.157
2017-10-17,103.773
2017-10-18,103.182
2017-10-19,103.552
2017-10-20,102.87
2017-10-23,103.033
2017-10-24,101.895
2017-10-25,101.698
2017-10-26,100.9
2017-10-27,100.642
2017-10-30,101.866
2017-10-31,102.006
2017-11-01,101.65
2017-11-02,102.031
2017-11-03,101.938
2017-11-06,102.137
2017-11-07,101.778
2017-11-08,100.497
2017-11-09,100.521
2017-11-10,99.566
2017-11-13,99.54
2017-11-14,100.593
2017-11-15,100.102
2017-11-16,101.129
2017-11-17,101.635
2017-11-20,101.555
2017-11-21,102.163
2017-11-22,102.619
2017-11-24,102.763
2017-11-27,103.878
2017-11-28,103.693
2017-11-29,102.892
2017-11-30,101.853
2017-12-01,101.466
2017-12-04,101.845
2017-12-05,102.703
2017-12-06,102.219
2017-12-07,100.799
2017-12-08,101.299
2017-12-11,101.146
2017-12-12,100.488
2017-12-13,100.989
2017-12-14,101.948
2017-12-15,101.588
2017-12-18,101.758
2017-12-19,101.09
2017-12-20,101.194
2017-12-21,101.811
2017-12-22,101.413
2017-12-26,102.062
2017-12-27,101.364
2017-12-28,101.529
