Date,PX_LAST,YLD_CNV_LAST
27/12/2022,95.144,7.379
23/12/2022,94.779,7.419
22/12/2022,95.437,7.348
21/12/2022,95.9,7.298
20/12/2022,95.249,7.368
19/12/2022,96.121,7.274
16/12/2022,97.018,7.18
15/12/2022,96.618,7.222
14/12/2022,97.578,7.121
13/12/2022,97.71,7.107
12/12/2022,96.005,7.286
09/12/2022,96.179,7.268
08/12/2022,96.875,7.194
07/12/2022,96.469,7.237
06/12/2022,95.507,7.339
05/12/2022,96.051,7.281
02/12/2022,95.177,7.374
01/12/2022,95.397,7.351
30/11/2022,94.145,7.486
29/11/2022,92.237,7.697
28/11/2022,91.464,7.784
25/11/2022,92.654,7.65
23/11/2022,92.53,7.664
22/11/2022,92.147,7.706
21/11/2022,92.317,7.687
18/11/2022,91.782,7.747
17/11/2022,91.565,7.772
16/11/2022,92.665,7.648
15/11/2022,92.486,7.668
14/11/2022,90.437,7.9
10/11/2022,90.282,7.918
09/11/2022,89.351,8.026
08/11/2022,90.118,7.936
07/11/2022,88.996,8.067
04/11/2022,89.048,8.061
03/11/2022,89.746,7.979
02/11/2022,89.401,8.019
01/11/2022,89.195,8.043
31/10/2022,88.944,8.073
28/10/2022,89.216,8.041
27/10/2022,89.298,8.031
26/10/2022,89.739,7.979
25/10/2022,88.77,8.093
24/10/2022,88.546,8.119
21/10/2022,88.281,8.151
20/10/2022,88.312,8.147
19/10/2022,89.464,8.011
18/10/2022,90.367,7.906
17/10/2022,89.381,8.02
14/10/2022,90.635,7.875
13/10/2022,90.751,7.862
12/10/2022,90.576,7.881
11/10/2022,91.064,7.825
07/10/2022,91.942,7.726
06/10/2022,92.252,7.691
05/10/2022,91.941,7.726
04/10/2022,92.913,7.618
03/10/2022,92.651,7.647
30/09/2022,88.729,8.095
29/09/2022,90.161,7.928
28/09/2022,90.194,7.924
27/09/2022,90.954,7.837
26/09/2022,91.408,7.785
23/09/2022,93.146,7.591
22/09/2022,93.981,7.5
21/09/2022,94.855,7.405
20/09/2022,94.175,7.479
19/09/2022,93.798,7.52
16/09/2022,94.164,7.48
15/09/2022,95.406,7.347
14/09/2022,96.12,7.271
13/09/2022,96.936,7.186
12/09/2022,96.55,7.226
09/09/2022,97.347,7.143
08/09/2022,97.182,7.16
07/09/2022,97.175,7.161
06/09/2022,97.321,7.146
02/09/2022,97.487,7.128
01/09/2022,97.553,7.122
31/08/2022,97.946,7.081
30/08/2022,99.181,6.956
29/08/2022,99.448,6.929
26/08/2022,100.423,6.832
25/08/2022,100.68,6.807
24/08/2022,100.903,6.785
23/08/2022,100.678,6.807
22/08/2022,100.705,6.804
19/08/2022,101.988,6.679
18/08/2022,102.551,6.625
17/08/2022,103.126,6.57
16/08/2022,103.819,6.505
15/08/2022,102.868,6.595
12/08/2022,103.895,6.498
11/08/2022,103.133,6.57
10/08/2022,102.629,6.618
09/08/2022,102.617,6.619
08/08/2022,103.243,6.56
05/08/2022,101.724,6.705
04/08/2022,100.857,6.79
03/08/2022,101.912,6.687
02/08/2022,100.646,6.811
01/08/2022,100.813,6.794
29/07/2022,100.05,6.87
28/07/2022,99.576,6.917
27/07/2022,98.637,7.011
26/07/2022,97.767,7.1
25/07/2022,99.815,6.893
22/07/2022,97.853,7.091
21/07/2022,97.358,7.142
20/07/2022,96.725,7.207
19/07/2022,96.229,7.259
18/07/2022,95.464,7.339
15/07/2022,95.265,7.361
14/07/2022,94.847,7.405
13/07/2022,94.836,7.406
12/07/2022,94.334,7.46
11/07/2022,95.899,7.293
08/07/2022,95.731,7.311
07/07/2022,95.793,7.304
06/07/2022,95.816,7.301
05/07/2022,94.869,7.402
01/07/2022,93.953,7.5
30/06/2022,93.706,7.527
29/06/2022,94.532,7.437
28/06/2022,95.074,7.379
27/06/2022,95.63,7.321
24/06/2022,95.479,7.336
23/06/2022,95.929,7.289
22/06/2022,94.748,7.414
21/06/2022,96.118,7.269
17/06/2022,96.242,7.256
16/06/2022,96.753,7.203
15/06/2022,97.735,7.102
14/06/2022,96.73,7.205
13/06/2022,97.063,7.17
10/06/2022,98.571,7.017
09/06/2022,99.47,6.927
08/06/2022,99.526,6.921
07/06/2022,99.63,6.911
06/06/2022,99.879,6.886
03/06/2022,99.552,6.918
02/06/2022,99.009,6.972
01/06/2022,100.015,6.872
31/05/2022,98.856,6.988
27/05/2022,98.899,6.983
26/05/2022,98.167,7.057
25/05/2022,97.122,7.164
24/05/2022,96.769,7.2
23/05/2022,97.42,7.133
20/05/2022,97.525,7.122
19/05/2022,97.28,7.147
18/05/2022,96.982,7.178
17/05/2022,96.644,7.213
16/05/2022,96.425,7.235
13/05/2022,96.777,7.199
12/05/2022,96.988,7.177
11/05/2022,96.786,7.198
10/05/2022,96.561,7.221
09/05/2022,96.449,7.232
06/05/2022,97.28,7.147
05/05/2022,98.539,7.019
04/05/2022,98.408,7.032
03/05/2022,98.578,7.015
02/05/2022,98.736,6.999
29/04/2022,99.837,6.89
28/04/2022,100.079,6.866
27/04/2022,100.651,6.81
26/04/2022,101.793,6.699
25/04/2022,101.003,6.776
22/04/2022,101.414,6.736
21/04/2022,102.065,6.673
20/04/2022,102.517,6.63
19/04/2022,101.698,6.709
18/04/2022,102.018,6.678
14/04/2022,102.285,6.652
13/04/2022,102.392,6.642
12/04/2022,102.875,6.597
11/04/2022,102.158,6.665
08/04/2022,102.628,6.62
07/04/2022,103.749,6.515
06/04/2022,103.252,6.561
05/04/2022,104.01,6.49
04/04/2022,103.75,6.515
01/04/2022,103.699,6.519
